title,description,category,start_time,end_time,location,host,image
"Introduction to Git and GitHub","",Workshop,2025-01-14 10:00:00,2025-01-14 12:00:00,Innovation Space,"Nguyen Tien Hung","https://placehold.co/160x90"
"Enhancing Software Development with Docker Products","",Workshop,2025-02-14 10:00:00,2025-02-14 12:00:00,Innovation Concept Room,"Minh-Triet Nguyen-Ta","https://placehold.co/160x90"
"CS1: Cloud Computing Concepts and AWS","",Workshop,2025-09-23 09:30:00,2025-09-23 11:30:00,Melbourne Autitorium,"ITea Lab Cloud Team","https://placehold.co/160x90"
"CS2: Security and Networking in AWS","",Workshop,2025-11-04 09:30:00,2025-11-04 11:30:00,Melbourne Autitorium,"ITea Lab Cloud Team","https://placehold.co/160x90"
"CS3: DevOps and CI/CD with AWS","",Workshop,2025-12-21 11:00:00,2025-12-21 13:00:00,Melbourne Autitorium,"ITea Lab Cloud Team","https://placehold.co/160x90"
